Localidad	Temperatura_meso	ppm	Largo	Ancho 	Alto	Peso_total	Margen_crecimiento	Rigidez	Peso_seco_concha	nano_indentacion	Modulo_elastico	Estres_max	Presion_max
Chiloe	10°C	1500ppm	0.050	0.260	0.630	0.005	0.326	500.092	0.178	0.178	914.257	119.300	0.135
Chiloe	10°C	1500ppm	0.030	0.160	0.190	-0.002	0.294	316.955	0.083	0.083	690.310	137.102	0.207
Chiloe	10°C	1500ppm	0.090	0.260	0.340	0.012	0.268	457.828	0.059	0.059	572.008	118.967	0.219
Chiloe	10°C	1500ppm	0.090	0.320	0.450	0.003	0.278	194.680	0.079	0.079	417.942	43.517	0.109
Chiloe	10°C	1500ppm	0.100	0.670	0.020	0.003	0.480	274.937	0.066	0.066	263.259	25.080	0.097
Chiloe	10°C	1500ppm	0.140	1.170	0.960	0.012	0.268	209.439	0.097	0.097	861.853	172.443	0.208
Chiloe	15°C	500ppm	0.130	0.170	0.350	0.001	0.326	383.891	0.120	0.120	127.302	9.677	0.082
Chiloe	15°C	500ppm	0.050	0.060	0.820	0.011	0.380	379.078	0.172	0.172	807.784	134.056	0.175
Chiloe	15°C	500ppm	0.040	0.320	0.790	0.011	0.288	510.025	0.142	0.142	448.209	76.578	0.181
Chiloe	15°C	500ppm	0.300	0.130	0.750	0.012	0.236	405.207	0.096	0.096	803.983	170.501	0.204
Chiloe	15°C	500ppm	0.460	1.190	1.180	0.021	0.256	289.424	0.069	0.069	566.051	120.352	0.231
Chiloe	15°C	500ppm	0.070	0.360	0.750	0.014	0.252	657.482	0.089	0.089	379.552	78.519	0.216
Chiloe	15°C	500ppm	0.160	0.440	0.220	0.021	0.332	435.044	0.080	0.080	346.015	40.954	0.121
Chiloe	15°C	500ppm	-1.060	0.790	0.180	0.009	0.338	228.242	0.115	0.115	397.703	48.505	0.123
Chiloe	15°C	500ppm	0.400	0.490	0.630	0.028	0.290	342.687	0.060	0.060	766.364	153.057	0.212
Chiloe	15°C	500ppm	0.360	0.770	0.560	0.025	0.324	321.446	0.123	0.123	380.364	33.593	0.092
Chiloe	15°C	500ppm	0.040	0.210	0.640	0.006	0.408	314.753	0.149	0.149	483.506	99.711	0.219
Chiloe	15°C	500ppm	0.260	0.930	0.880	0.018	0.292	888.740	0.171	0.171	942.798	235.660	0.256
Chiloe	15°C	500ppm	0.140	1.000	0.230	0.014	0.408	283.126	0.098	0.098	249.200	23.561	0.098
Chiloe	15°C	500ppm	0.820	0.750	1.020	0.016	0.242	385.050	0.089	0.089	814.614	111.227	0.150
Chiloe	15°C	500ppm	0.030	0.130	1.290	0.001	0.366	312.300	0.058	0.058	702.416	119.555	0.172
Chiloe	15°C	500ppm	-0.400	0.590	0.960	0.020	0.260	299.517	0.075	0.075	538.937	51.715	0.097
Chiloe	15°C	500ppm	0.110	0.980	0.640	0.024	0.360	209.542	0.073	0.073	198.874	14.662	0.077
Chiloe	15°C	500ppm	0.340	1.120	0.850	0.013	0.372	630.806	0.171	0.171	604.244	63.171	0.107
Chiloe	15°C	500ppm	0.220	1.250	0.690	0.017	0.312	418.291	0.134	0.134	507.324	114.085	0.229
Chiloe	15°C	500ppm	0.690	0.450	1.450	0.019	0.244	350.885	0.114	0.114	309.373	28.674	0.091
Chiloe	15°C	500ppm	0.870	1.190	0.820	0.033	0.202	254.748	0.065	0.065	804.899	160.367	0.207
Chiloe	15°C	500ppm	0.280	0.430	0.570	0.014	0.258	244.542	0.094	0.094	734.648	113.563	0.162
Chiloe	15°C	500ppm	0.390	0.620	0.840	0.021	0.418	287.281	0.076	0.076	618.692	152.623	0.255
Chiloe	15°C	500ppm	0.130	0.870	0.550	0.009	0.306	489.964	0.145	0.145	410.885	58.822	0.147
Chiloe	15°C	500ppm	0.050	0.190	0.860	0.018	0.324	414.339	0.089	0.089	684.542	138.134	0.197
Chiloe	15°C	500ppm	-0.010	0.270	0.050	0.009	0.410	550.990	0.110	0.110	533.945	44.876	0.087
Chiloe	15°C	500ppm	0.260	0.150	0.710	0.009	0.308	668.056	0.135	0.135	786.220	194.255	0.254
Chiloe	15°C	500ppm	0.810	0.380	0.350	0.001	0.278	267.953	0.077	0.077	576.217	52.381	0.099
Chiloe	15°C	500ppm	0.530	0.910	0.770	0.010	0.296	306.071	0.044	0.044	194.491	15.727	0.083
Chiloe	15°C	500ppm	0.710	0.850	1.490	0.028	0.230	330.738	0.095	0.095	280.642	38.777	0.139
Chiloe	15°C	500ppm	0.130	0.140	0.670	0.008	0.330	434.367	0.073	0.073	282.258	56.000	0.201
Chiloe	15°C	1500ppm	0.040	-0.510	0.120	0.014	0.426	251.823	0.089	0.089	474.802	39.128	0.085
Chiloe	15°C	1500ppm	0.260	0.190	0.530	0.020	0.226	410.236	0.159	0.159	473.954	51.889	0.111
Chiloe	15°C	1500ppm	0.300	0.330	0.170	0.023	0.354	211.276	0.100	0.100	174.261	24.279	0.144
Chiloe	15°C	1500ppm	0.420	0.200	0.320	0.010	0.270	466.327	0.135	0.135	693.612	180.252	0.263
Chiloe	15°C	1500ppm	0.310	0.130	0.700	0.022	0.264	330.437	0.076	0.076	722.718	189.666	0.267
Chiloe	15°C	1500ppm	0.610	0.890	0.970	0.025	0.230	85.586	0.070	0.070	742.694	96.442	0.134
Chiloe	15°C	1500ppm	0.110	0.330	0.590	0.012	0.302	340.523	0.052	0.052	147.346	10.773	0.074
Chiloe	15°C	1500ppm	0.440	0.220	1.470	0.019	0.270	213.649	0.107	0.107	275.605	16.236	0.060
Chiloe	15°C	1500ppm	0.050	-0.090	0.300	0.024	0.318	380.893	0.090	0.090	447.079	47.758	0.114
Chiloe	15°C	1500ppm	0.320	0.040	0.030	-0.001	0.482	494.533	0.158	0.158	1142.803	264.749	0.236
Chiloe	15°C	1500ppm	0.130	0.350	0.550	0.003	0.266	284.215	0.130	0.130	590.794	76.775	0.132
Chiloe	15°C	1500ppm	0.120	0.320	0.280	0.005	0.270	451.643	0.071	0.071	74.006	6.109	0.088
Chiloe	15°C	1500ppm	0.490	0.370	0.370	0.026	0.276	288.279	0.084	0.084	469.845	130.687	0.286
Chiloe	15°C	1500ppm	0.440	0.730	0.190	0.013	0.210	290.208	0.101	0.101	169.277	19.840	0.113
Chiloe	15°C	1500ppm	0.280	0.320	1.030	0.021	0.294	409.387	0.051	0.051	315.012	36.209	0.117
Chiloe	15°C	1500ppm	0.080	0.460	0.520	0.008	0.384	441.960	0.108	0.108	355.435	45.202	0.130
Chiloe	15°C	1500ppm	0.040	0.170	0.720	0.013	0.426	351.198	0.132	0.132	793.949	138.848	0.181
Chiloe	15°C	1500ppm	0.180	0.580	0.530	0.016	0.430	354.005	0.153	0.153	695.001	130.941	0.195
Chiloe	15°C	1500ppm	0.410	0.470	0.220	-0.037	0.300	268.693	0.103	0.103	1038.032	259.033	0.258
Chiloe	15°C	1500ppm	0.310	0.140	0.490	0.011	0.312	693.489	0.046	0.046	168.018	8.045	0.049
Chiloe	15°C	1500ppm	0.170	0.400	0.610	-0.051	0.260	100.972	0.080	0.080	94.772	10.827	0.118
Chiloe	15°C	1500ppm	0.170	0.830	0.340	0.008	0.298	385.408	0.044	0.044	150.942	8.327	0.056
Chiloe	15°C	1500ppm	0.090	-2.964	0.350	0.018	0.330	432.890	0.067	0.067	242.724	20.695	0.090
Chiloe	15°C	1500ppm	0.140	0.120	0.120	0.030	0.370	269.730	0.133	0.133	497.710	93.565	0.195
Chiloe	15°C	1500ppm	0.280	0.220	0.440	0.006	0.306	365.471	0.163	0.163	741.048	127.238	0.185
Chiloe	15°C	1500ppm	0.270	1.040	0.400	0.012	0.248	213.257	0.104	0.104	369.973	70.390	0.203
Chiloe	15°C	1500ppm	0.220	0.150	0.350	0.006	0.396	192.879	0.043	0.043	174.719	13.605	0.084
Chiloe	15°C	1500ppm	0.100	0.320	0.440	0.017	0.314	244.757	0.090	0.090	741.222	145.909	0.205
Chiloe	15°C	1500ppm	0.080	0.490	0.850	0.008	0.340	280.533	0.086	0.086	314.020	24.947	0.082
Talcaruca	10°C	500ppm	0.210	2.530	1.290	0.021	0.382	332.857	0.064	0.064	626.034	141.850	0.242
Talcaruca	10°C	500ppm	0.100	1.940	0.720	0.038	0.366	360.673	0.249	0.249	921.492	264.417	0.305
Talcaruca	10°C	500ppm	0.020	0.860	0.340	-0.008	0.326	257.519	0.183	0.183	857.354	102.957	0.119
Talcaruca	10°C	500ppm	-0.020	0.780	0.290	-0.143	0.332	100.957	0.182	0.182	905.673	772.265	0.876
Talcaruca	10°C	1500ppm	0.200	1.580	0.340	0.045	0.336	309.172	0.154	0.154	275.937	12.576	0.047
Talcaruca	10°C	1500ppm	0.850	0.870	-0.460	-0.018	0.338	244.701	0.157	0.157	795.999	139.437	0.183
Talcaruca	15°C	500ppm	0.910	1.940	0.240	0.066	0.372	316.378	0.171	0.171	915.652	444.292	0.502
Talcaruca	15°C	500ppm	0.280	1.220	0.240	0.043	0.304	201.883	0.211	0.211	1079.212	447.259	0.432
Talcaruca	15°C	500ppm	0.190	1.560	0.220	0.028	0.350	483.337	0.199	0.199	558.269	58.465	0.107
Talcaruca	15°C	1500ppm	0.410	0.580	1.430	0.042	0.334	313.376	0.179	0.179	348.793	48.304	0.134
Talcaruca	15°C	1500ppm	0.120	1.190	0.330	0.028	0.306	250.955	0.164	0.164	451.316	66.256	0.150
Talcaruca	15°C	1500ppm	0.070	1.110	0.900	0.037	0.366	204.474	0.152	0.152	727.015	377.779	0.537
Talcaruca	15°C	1500ppm	0.200	0.390	0.560	0.032	0.384	439.268	0.186	0.186	873.113	363.645	0.440
Talcaruca	10°C	500ppm	0.100	0.080	5.040	8.027	0.388	302.391	0.252	0.252	853.110	133.000	0.161
Talcaruca	10°C	500ppm	-0.060	1.000	4.580	0.054	0.312	298.882	0.144	0.144	582.496	105.473	0.193
Talcaruca	10°C	500ppm	0.220	0.020	4.350	0.010	0.270	330.641	0.085	0.085	367.372	12.885	0.032
Talcaruca	10°C	500ppm	0.190	0.150	4.660	0.140	0.312	228.107	0.088	0.088	719.487	420.366	0.590
Talcaruca	10°C	1500ppm	0.060	1.030	4.640	0.003	0.348	288.838	0.107	0.107	467.696	75.595	0.168
Talcaruca	10°C	1500ppm	0.210	0.110	5.580	0.035	0.324	323.306	0.106	0.106	513.350	37.863	0.076
Talcaruca	10°C	1500ppm	0.170	0.010	4.350	0.007	0.292	258.761	0.127	0.127	382.085	23.566	0.059
Talcaruca	10°C	1500ppm	0.020	1.260	4.640	0.018	0.288	215.913	0.108	0.108	520.538	63.993	0.128
Talcaruca	15°C	500ppm	0.420	0.260	5.220	0.003	0.304	165.102	0.095	0.095	293.540	15.733	0.047
Talcaruca	15°C	500ppm	0.610	1.750	5.340	0.048	0.266	264.587	0.092	0.092	770.229	81.762	0.110
Talcaruca	15°C	500ppm	0.330	0.320	3.870	0.006	0.300	318.785	0.130	0.130	649.843	57.423	0.090
Talcaruca	15°C	500ppm	0.250	0.280	5.540	0.039	0.296	362.142	0.087	0.087	430.960	63.087	0.151
Talcaruca	15°C	1500ppm	0.260	-0.370	5.250	0.017	0.294	279.987	0.125	0.125	461.247	44.580	0.100
Talcaruca	15°C	1500ppm	0.210	0.590	4.250	0.040	0.282	420.229	0.118	0.118	979.617	645.239	0.681
Talcaruca	15°C	1500ppm	0.160	1.290	5.040	-0.006	0.318	228.697	0.094	0.094	374.450	71.187	0.196
