Localidad	Temperatura	ppm	Peso_bollante	Volumen cm	Largo	Ancho 	Alto	Peso_total	Margen_crecimiento	Peso_seco_concha	Pseco_mb	Peso_libre_ceniza	r3	pendiente	extensión_max	carga_max	ph Promedio (25°C)	Salinidad	Temperatura 	Alcalinidad_total (µmol kg-1)	pCO2 (µatm)	Ωcalcita	Ωaragonita
Quintay	15°C	500ppm	0.0244	-4.665940902	0.030	0.780	0.250	0.090	0.504	0.314	0.0174	0.0037	0.9472	581	0.13078	69	8.1435	31.05	15.8	2374.753605	157.175235	4.452848914	2.773443425
Quintay	15°C	500ppm	0.4015	0.250668293	-0.050	0.250	-0.260	0.101	0.578	0.427	0.0122	0.0023	0.9738	265	0.13344	32	7.9425	32.375	15.2	2260.673149	263.0783773	2.841509585	1.776107316
Quintay	15°C	1500ppm	0.0289	-2.441971971	-0.160	0.030	0.320	0.158	0.410	0.286	0.0226	0.005	0.9026	410	0.13	55	7.746375	31.725	15.5	2277.701648	443.7929771	1.875063228	1.170069126
Quintay	15°C	500ppm	-0.002	-3.549788589	0.270	0.500	0.110	0.302	0.676	0.667	0.0323	0.0065	0.9263	204	0.58532	139	8.047666667	32.26666667	15.4	2300.921407	199.7541872	3.597926635	2.248307505
Quintay	15°C	500ppm	0.0193	-5.696159076	-0.140	0.200	0.570	0.085	0.512	0.417	0.0111	0.0034	0.9467	97	0.41562	41	8.010333333	32.73333333	15.1	2312.599614	224.3046257	3.35068556	2.096177357
Quintay	10°C	1500ppm	-0.0023	1.617363425	0.090	-0.040	-0.110	0.183	0.598	0.606	0.0296	0.0061	0.867	267	0.30016	85	7.644875	32.7	10.8	2268.420644	682.2451393	1.298581504	0.812324408
Quintay	10°C	500ppm	0.0392	-3.74017332	0.290	0.250	0.520	0.068	0.422	0.335	0.0217	0.0039	0.9869	298	0.15438	44	8.00975	33.275	10.6	1998.606805	232.9325713	2.515312539	1.575498759
Quintay	15°C	500ppm	0.0187	-7.789100412	-0.200	0.820	0.590	0.092	0.554	0.316	0.0186	0	1	282	1	188.50617	8.0455	31.825	15.8	1900.222425	163.5063926	2.941126283	1.835796544
Quintay	10°C	500ppm	-0.0021	-4.559824602	-0.130	0.450	0.500	0.106	0.342	0.182	0.0108	0.0023	1	332	0	38	8.00975	33.275	10.6	2005.04802	233.6940201	2.523809446	1.580820907
Quintay	15°C	1500ppm	0.027	-4.537161673	-0.120	0.410	0.400	0.105	0.352	0.270	0.0192	0.0037	0.8701	338	0.16813	61	7.7175	32.425	15.1	2288.255155	486.1140403	1.766385524	1.104228297
Quintay	15°C	500ppm	0.023	-1.31259536	-0.540	0.200	-0.080	0.109	0.358	0.160	0.0115	0.0031	0.9942	134	0.14391	19	8.05625	32.85	15.4	2082.967604	175.5766941	3.322750831	2.07926633
Quintay	10°C	1500ppm	0.0009	-0.636815403	-0.040	-0.200	0.250	0.130	0.630	0.550	0.0227	0.004	0.9973	857	0.31141	253	7.65275	32.975	10.8	2287.169168	673.017762	1.340074243	0.838813711
Quintay	10°C	1500ppm	0.1076	9.332846914	2.030	-1.900	1.060	0.227	0.450	0.356	0.0239	0.0046	0.9817	287	0.17938	47	7.651	32.575	10.6	1983.423193	591.424838	1.13813882	0.711748265
Quintay	15°C	500ppm	0.0248	-3.963740901	-0.420	-0.010	0.370	0.121	0.644	0.480	0.0277	0.0054	0.9836	369	0.37734	124	8.12675	32.825	14.7	2343.447901	167.6793955	4.224320939	2.643285825
Quintay	10°C	500ppm	0.0016	-6.339296765	-0.150	0.750	-0.060	0.247	0.656	0.784	0	0	1	293	0	77.64579	8.103375	32.725	10	2345.651721	219.50814	3.491862634	2.18445449
Quintay	10°C	1500ppm	0.0161	-5.808647985	-0.170	0.410	0.290	0.033	0.824	0.655	0.0304	0.0029	0.9673	422	0.36047	157	7.81375	32.925	10.5	2310.505015	454.14716	1.917146955	1.199893223
Quintay	15°C	500ppm	0.0014	2.16696424	0.280	-0.160	-0.060	0.111	0.394	0.160	0.0187	0.004	0.9308	305	0.3189	103	8.043625	32	15	2279.124666	203.9258544	3.476075272	2.170693172
Quintay	15°C	1500ppm	-0.0043	-0.513675531	0.100	0.320	-0.170	0.184	0.560	0.492	0.0276	0.0062	0.9864	544	0.19672	94	7.74225	32.85	15.5	2314.494556	452.264378	1.928318278	1.20667708
Quintay	10°C	1500ppm	0.0205	-5.721630923	-0.430	0.340	0.310	0.160	0.542	0.458	0.0321	0.0068	0.978	708	0.15343	93	7.6595	32.025	10.9	2301.644276	667.2515854	1.349408814	0.842715158
Quintay	15°C	1500ppm	0.0032	-1.269280567	0.060	0.330	-0.090	0.249	0.776	0.608	0.0231	0.0042	0.993	699	0.24359	160	7.746375	31.725	15.5	2277.701648	443.7929771	1.875063228	1.170069126
Quintay	10°C	1500ppm	0.0127	-1.293876355	0.030	-0.370	0.550	0.129	0.624	0.436	0	0	1	427	0	113	7.640625	32.825	10.4	1886.266353	580.6720641	1.054288363	0.659700228
Quintay	15°C	500ppm	0.0121	-7.354452903	-0.030	0.860	0.510	0.104	0.500	0.349	0.009	0.0003	0.9657	204	0.27438	47	8.047666667	32.26666667	15.4	2322.596692	201.6503314	3.633672503	2.270644731
Quintay	15°C	500ppm	0.1989	-0.279097016	0.010	0.450	-0.230	0.151	0.406	0.286	0.0098	0.0027	0.932	270	0.18593	53	8.010333333	32.73333333	15.1	2319.339985	224.9627236	3.360957467	2.102603426
Quintay	10°C	500ppm	-0.0024	-5.957770939	0.090	0.160	1.150	0.086	0.608	0.344	0.0128	0.0023	0.9803	628	0.15984	92	8.03425	32.775	10.8	2316.854763	252.2150603	3.080715667	1.927473107
Quintay	10°C	1500ppm	0.0083	-22.92077582	-3.160	2.480	2.390	0.183	0.590	0.312	0.0201	0.0029	0.93	590	0.24906	140	7.80025	32.3	10.9	1917.993249	385.4695953	1.539471578	0.962079929
Quintay	15°C	1500ppm	0.0118	-5.347837494	-0.120	0.540	0.540	0.103	0.754	0.317	0.014	0.002	0.9341	360	0.43781	168	7.84275	32.225	15.4	2326.660171	351.1568631	2.381293275	1.487890545
Quintay	10°C	500ppm	0.0083	0.171303747	-0.130	-0.250	0.050	0.048	0.282	0.075	0.0045	0.0002	1	261	0	28	8.006666667	33.03333333	10.7	2293.016645	269.2673683	2.88389231	1.805398039
Quintay	10°C	1500ppm	-0.0034	2.626602464	-0.020	-0.060	-0.370	0.140	0.658	0.462	0.0172	0.0034	0.9656	474	0.46234	197	7.651	32.575	10.6	1983.423193	591.424838	1.13813882	0.711748265
Quintay	10°C	500ppm	-0.0023	-2.102590053	-0.100	0.010	0.200	0.391	0.710	0.732	0.0298	0.0073	0.9916	452	0.19468	84	8.006666667	33.03333333	10.7	2317.440282	272.1659999	2.915921179	1.825449015
Quintay	10°C	500ppm	-0.0051	4.833382741	-0.040	-1.540	0.710	0.220	0.604	0.485	0.0244	0.0049	0.9704	229	0.32922	72	7.981833333	32.83333333	10.7	2282.237292	286.6835783	2.718234292	1.700914537
Quintay	10°C	500ppm	0	-6.891633022	0.020	1.210	0.080	0.152	0.434	0.373	0.022	0.0055	0.969	579	0.12156	61	7.99475	32.425	10.75	2341.210252	284.5317768	2.852151616	1.782977997
Quintay	10°C	1500ppm	0.0096	-10.31613222	0.520	1.320	0.890	0.169	0.498	0.421	0.0172	0.0033	0.9896	410	0.30797	121	7.644875	32.7	10.8	2280.69447	685.9616945	1.30573925	0.816801918
Quintay	15°C	500ppm	0.0009	-1.091160676	0.170	0.510	0.010	0.021	0.392	0.164	0.01	0.0014	0.9749	313	0.2361	76	8.019875	32.4	15.23	2358.29767	222.2844107	3.482423185	2.176849055
Quintay	15°C	1500ppm	0.0093	-1.4660799	0.080	1.200	-0.400	0.060	0.334	0.099	0.0049	0.001	0.96	564	0.1725	89	7.777375	31.475	16	2336.868346	412.2151713	2.086260747	1.300978001
Quintay	15°C	500ppm	0.0158	-3.235837824	0.300	0.480	0.230	-0.037	0.730	0.471	0.0314	0.0062	0.7032	96	0.465	50	8.1435	31.05	15.8	2349.646771	155.4958367	4.403017391	2.742406012
Quintay	15°C	500ppm	0.1211	-9.265644466	-0.920	0.340	1.030	0.289	0.426	0.263	0.0136	0.0036	0.9079	453	0.13672	60	7.9425	32.375	15.2	2282.672244	265.649682	2.870471542	1.794210209
Quintay	15°C	500ppm	0.0106	-1.217444819	0.480	1.130	-0.260	0.076	0.422	0.143	0.0086	0.0016	0.992	390	0.18093	63	8.0455	31.825	15.8	1931.834259	166.2580977	2.993171672	1.868282312
Quintay	10°C	500ppm	-0.001	-0.207509873	0.070	0.520	-0.330	0.035	0.548	0.288	0.0098	0.002	0.9664	325	0.20406	68	7.99475	32.425	10.75	2282.585588	277.3394006	2.77785532	1.736532829
Quintay	10°C	500ppm	0.0012	3.706244238	-0.010	-0.270	-0.220	0.126	0.468	0.544	0	0	1	494	0	70.57807	8.018375	32.8	10.5	2400.913065	276.1856477	3.06737586	1.919238755
Quintay	10°C	500ppm	0.0152	-7.895098103	-0.550	0.210	0.710	0.215	0.562	0.459	0.0049	0.0012	0.8181	265	0.42469	114	8.018375	32.8	10.5	2390.886986	275.0205135	3.054040667	1.910895004
Quintay	15°C	1500ppm	0.0379	-5.286915507	-0.430	0.160	0.390	0.138	0.466	0.372	0.0217	0.0041	0.9721	569	0.20297	110	7.70775	32.2	15.3	1888.990896	408.9829015	1.421236802	0.887967852
Quintay	10°C	1500ppm	0.01	-1.556211716	-0.430	0.590	-0.270	0.109	0.324	0.168	0	0	1	433	0	45	7.644	32.925	10.9	2282.682961	684.6371818	1.314108192	0.822466692
Quintay	15°C	1500ppm	0.0111	-4.192928915	0.230	0.450	0.410	0.120	0.688	0.438	0.0167	0.0016	0.983	363	0.24203	90	7.840125	31.625	16	2136.018581	318.4367791	2.184942486	1.363072499
Quintay	10°C	500ppm	0.0125	-3.07230654	0.330	0.080	0.570	0.057	0.470	0.363	0.0192	0.0045	0.9389	558	0.14016	72	8.0905	31.75	10.8	2309.64649	217.9546659	3.38230452	2.110752232
Quintay	10°C	1500ppm	0.0223	-7.098899356	-0.400	0.390	0.460	0.197	0.636	0.512	0	0	1	669	0.19219	125	7.644875	32.7	10.8	2280.69447	685.9616945	1.30573925	0.816801918
Quintay	10°C	1500ppm	0.0301	-2.509580777	-0.480	1.110	-0.470	0.069	0.446	0.217	0.0108	0.0011	0.911	275	0.4175	121	7.65275	32.975	10.8	2286.169785	672.7217027	1.339477404	0.838440122
Quintay	15°C	1500ppm	0.0167	-8.617529877	0.060	1.250	0.610	0.066	0.366	0.224	0.0189	0.0035	0.7807	231	0.1286	32	7.73025	32.35	15.4	2021.101059	410.4828725	1.612205755	1.007659412
Quintay	15°C	1500ppm	0.0194	-1.249219275	0.130	1.050	-0.260	0.079	0.358	0.115	0	0	1	440	0.06953	28.90177	7.74225	32.85	15.5	2305.865588	450.5741568	1.920895309	1.202032034
Quintay	10°C	500ppm	0.0282	-5.955141796	0.000	0.440	0.750	0.103	0.332	0.239	0	0	1	150	0	11	8.0905	31.75	10.8	2377.678283	224.4554512	3.486575124	2.175823076
Quintay	10°C	500ppm	0.0261	-7.433992704	-0.520	0.180	0.520	0.163	0.702	0.656	0	0	1	369	0	47	8.0535	32.525	11	2368.609249	243.3554079	3.28546813	2.054358274
Quintay	15°C	1500ppm	0.0158	-3.452350621	-0.100	0.200	0.440	0.157	0.506	0.265	0.0119	0.0024	0.9945	607	0.11453	61	7.73575	31.95	15.3	-16195.94178	-3253.141184	-13.53849449	-8.453243719
Quintay	15°C	1500ppm	0.041	1.2257304	0.070	-0.530	0.000	0.041	0.356	0.097	0	0	1	428	0.14375	55	7.74225	32.85	15.5	2314.494556	452.264378	1.928318278	1.20667708
Quintay	10°C	500ppm	0.0189	-1.228654201	0.520	0.320	0.180	0.063	0.656	0.478	0	0	1	209	0	35	7.982125	32.95	10.4	1931.399445	244.7545975	2.26752194	1.419264925
Quintay	10°C	500ppm	0.0078	-0.68292287	-0.070	0.400	-0.150	0.024	0.418	0.187	0	0	1	335	0	73	8.00975	33.275	10.6	1998.606805	232.9325713	2.515312539	1.575498759
Chiloé	10°C	500ppm	0.0082	1.371221086	0.110	0.080	0.310	0.016	0.240	0.127	0.0133	0.0011	0.98271	159	0.18578	33	7.937	30.87	11.19	2146.492518	430.7197137	2.670750188	1.686996778
Chiloé	10°C	500ppm	0.0065	1.772668997	0.400	0.210	0.020	0.001	0.322	0.224	0.023	0.0016	1	391	0	59	7.937	30.87	11.19	3607.929733	727.2231326	4.555709065	2.877643348
Chiloé	10°C	500ppm	0.0029	-0.024570081	0.040	-0.280	0.170	0.007	0.418	0.092	0.0063	0.0009	0.81257	468	0.16391	76	7.937	30.87	11.19	2440.439834	490.4181459	3.049521555	1.926250182
Chiloé	10°C	500ppm	-0.00105	0.768002803	0.070	0.530	0.030	0.022	0.312	0.061	0.0042	0.0004	0.97631	525	0.12859	72	7.937	30.87	11.19	3423.130557	689.7620974	4.317165812	2.726965946
Chiloé	10°C	500ppm	0.0033	1.16414671	0.230	0.340	0.170	0.005	0.284	0.078	0.0087	0.0012	0.91314	177	0.16891	33	7.937	30.87	11.19	3979.821549	802.5931038	5.035857696	3.180932362
