localidad;temperatura;ppm;pb_final-inicial;vol_f-i;largo_f-i;ancho_f-i;alto_f-i;pt_f-i;mdc_f;peso_seco_de_la_concha;volumen_cm;pseco_mb;p_ldc;r2;pendiente;extension_max;carga_max;ph_promedio_25C;salinidad;temperatura ;alcalinidad_total ;pCO2;calcita;aragonita;pendiente;R2;ml/g_l_h_14C;mgo2_h_g_1;lat/min;modulo_elastico;estres_max;presion_Max;r2;a;b;c;d;e;f;g
Quintay;15°C;500ppm;-0.004;-372.137;-0.4;1.22;-0.15;-0.001;0.5;0.17;-3.721;0.01;0.002;0.853;286.82;0.222;67.686;79.425;32.375;15.2;2.282.672.244;265.649.682;2.870.471.542;1.794.210.209;0.011;0.853;0.005;0.055;36.108;272.18;298.081;1.115;0.999;1.594.881;1.582.776;1.683.645;1.447.657;1.396.416;1.184.633;1.458.243
Quintay;10°C;500ppm;0.036;-487.573;0.34;0.34;0.64;0.145;0.648;0.498;-4.876;0.023;0.004;0.919;612.51;0.189;106.647;80.905;31.75;10.8;2.377.678.283;2.244.554.512;3.486.575.124;2.175.823.076;0.004;0.71;0.002;0.005;31.704;281.507;123.14;0.43;0.965;1.690.267;1.619.512;1.474.341;1371.81;1.594.881;1.376.679;1.431.992
Quintay;15°C;500ppm;0.018;-793.982;-0.46;0.6;0.32;0.096;0.716;0.548;-7.94;0.029;0.005;0.993;527.06;0.283;138.352;80.455;31.825;15.8;1.931.834.259;1.662.580.977;2.993.171.672;1.868.282.312;0.027;0.906;0.012;0.037;20.148;257.665;31.891;0.125;0.996;1.957.351;2.016.597;1.703.629;1.677.062;1.677.062;1.737.735;1.710.369
Quintay;15°C;500ppm;0.004;-483.226;0.29;0.27;0.69;0.023;0.892;0.488;-4.832;0.016;0.003;0.93;322.67;0.591;235.306;805.625;32.85;15.4;2.000.759.724;1.685.671.006;3.183.660.021;1.992.227.954;na;na;na;na;na;344.198;226.073;0.675;0.984;1.607.126;1.619.512;1.474.341;1.490.707;1.588.811;1.576.775;1.710.369
Quintay;10°C;1500ppm;-0.004;-788.578;0.01;0.77;0.39;0.173;0.702;0.539;-7.886;0.025;0.005;0.951;225.47;0.807;214.86;780.025;32.3;10.9;1.935.465.082;3.890.110.505;1.553.954.128;0.971130679;na;na;na;na;na;315.878;96.247;0.318;0.994;2.172.192;1.823.891;2.231.431;1.924.661;1.809.092;2.078.574;2.016.597
Quintay;10°C;1500ppm;-0.001;2.539;0.14;-0.04;0.1;0.12;0.468;0.366;0.025;0.02;0.004;0.979;425.58;0.122;48.329;7.651;32.575;10.6;1.961.586.601;5.848.597.216;1.125.344.904;0.703747441;0.01;0.872;0.005;0.02;38.472;170.089;11.18;0.065;0.989;2.172.192;1.823.891;2.231.431;1.924.661;1.809.092;2.078.574;2.016.597
Quintay;10°C;500ppm;0.004;-80.509;-0.19;0.11;0.22;0.033;0.346;0.066;-0.805;0.004;0.001;0.992;409.07;0.113;43.096;80.535;32.525;11;2.368.609.249;2.433.554.079;328.546.813;2.054.358.274;0.004;0.76;0.002;0.042;19.44;150.889;9.93;0.065;0.986;2.134.001;1.892.783;1.854.037;1.809.092;1.683.645;1.932.756;1.765.762
Quintay;15°C;500ppm;0.035;-801.783;-0.86;-0.31;1.32;0.122;0.39;0.254;-8.018;0.019;0.003;0.953;180.07;0.114;19.605;812.675;32.825;14.7;2.302.453.653;1.647.090.106;4.146.071.769;2.594.322.945;0.013;0.753;0.006;0.037;33.924;121.467;9.759;0.077;0.83;1.507.348;1.582.776;1.892.783;1.670.517;1.949.101;1.765.762;1.657.543
Quintay;10°C;1500ppm;0.009;-918.565;-3.19;0.4;0.62;0.107;0.49;0.206;-9.186;0.007;0.002;0.99;415.52;0.135;50.128;7.644.875;32.7;10.8;228.069.447;6.859.616.945;130.573.925;0.816801918;na;na;na;na;34.908;297.927;74.285;0.268;0.981;1.854.037;1.869.391;1.670.517;1.437.185;1.366.967;1.426.827;1.657.543
Quintay;15°C;500ppm;0.029;-416.565;1.59;0.19;1.66;-0.083;0.358;0.216;-4.166;0.016;0.003;0.962;536.08;0.135;63.1;8.043.625;32;15;2.264.615.624;2.026.174.971;3.452.765.591;2.156.137.053;0.016;0.908;0.007;0.055;34.116;354.755;426.934;1.234;0.99;1.582.776;1.638.362;1.772.875;1.479.766;1.809.092;1.854.037;1.588.811
Quintay;10°C;500ppm;-0.002;-76.015;-0.04;-0.09;0.15;0.23;0.582;0.594;-0.76;0.032;0.007;0.874;156.06;0.205;31.288;80.535;32.525;11;2.358.300.487;2.422.844.569;3.270.531.312;2.045.018.486;na;na;na;na;14.4;380.575;121.267;0.332;0.99;1.582.776;1.594.881;1.619.512;2.115.281;1.723.971;1.416.581;1.744.679
Quintay;10°C;500ppm;0.004;-336.579;0.22;0.1;0.59;0.107;0.584;0.399;-3.366;0.023;0.004;0.99;600.96;0.245;125.86;7.982.125;32.95;10.4;1.931.399.445;2.447.545.975;226.752.194;1.419.264.925;0.014;0.835;0.006;0.025;38.64;353.596;251.485;0.734;0.988;1.588.811;1.447.657;1.463.579;1.703.629;1.625.759;1.535.707;1.458.243
Quintay;10°C;1500ppm;-0.001;-279.819;-0.07;-0.09;0.38;0.09;0.54;0.533;-2.798;0.01;0.001;0.932;328.48;0.195;59.492;765.275;32.975;10.8;2.287.169.168;673.017.762;1.340.074.243;0.838813711;0.008;0.089;0.004;0.012;27.18;200.004;32.638;0.167;0.991;1.600.986;1.529.972;1.892.783;1.924.661;1.677.062;1.710.369;1.564.875
Quintay;10°C;1500ppm;0.028;-485.919;0.15;-0.16;0.83;0.196;0.414;0.409;-4.859;0.027;0.004;0.989;665.39;0.1;64.753;765.275;32.975;10.8;2.286.169.785;6.727.217.027;1.339.477.404;0.838440122;0.009;0.827;0.004;0.016;11.88;234.048;19.768;0.083;0.965;1717.15;1.333.772;1.576.775;1501.77;1.366.967;1.512.956;1.463.579
Quintay;10°C;500ppm;0.024;-399.244;-0.13;0.48;0.33;0.115;0.35;0.209;-3.992;0.017;0.003;0.949;184.55;0.159;30.76;7.982.125;32.95;10.4;1.942.010.413;2.461.178.699;2.280.556.483;1.427.423.377;0.012;0.746;0.005;0.04;30.144;300.516;311.241;1.06;0.995;;;;;;;
Quintay;15°C;500ppm;0.025;-420.401;-0.65;-0.24;0.57;0.079;0.684;0.532;-4.204;0.027;0.005;0.88;515.29;0.171;83.553;81.435;31.05;15.8;2.374.753.605;157.175.235;4.452.848.914;2.773.443.425;0.014;0.807;0.006;0.019;13.32;244.819;31.645;0.132;0.964;1.576.775;1.005.317;978.45;1.297.295;1.431.992;1.916.616;1.275.251
Quintay;10°C;1500ppm;0.012;-754.948;-0.23;-0.32;1.68;0.095;0.612;0.376;-7.549;0.022;0.003;0.971;792.76;0.211;153.63;765.275;32.975;10.8;2.286.169.785;6.727.217.027;1.339.477.404;0.838440122;0.007;0.812;0.003;0.013;8.004;261.306;65.32;0.258;0.966;1.474.341;1.588.811;1.426.827;1.479.766;1.411.499;1.600.986;1.381.574
Quintay;10°C;1500ppm;0.019;-185.146;-0.46;0.36;-0.01;0.057;0.392;0.158;-1.851;0.012;0.002;0.847;293.45;0.277;81.165;7.644;32.925;10.9;2.286.172.588;6.856.908.819;1.316.155.017;0.823747747;0.009;0.829;0.004;0.043;27.888;114.634;10.588;0.087;0.972;1.625.759;1196.41;1.496.223;904.008;1.570.808;1.437.185;1.588.811
